projectName,status,type,carpetArea,price,balcony,bathrooms,furnishedType,landmark,fullAddress,pincode,slug,possessionDate,listingType,floorPlanImage
16 Lakaki,UNDER_CONSTRUCTION,4.5BHK,2650.0,55800000,2.0,4,UNFURNISHED,Model Colony,"1102/A/48, Lakaki Rd, Model Colony, Shivajinagar, Pune, Maharashtra 411016",411016,16-lakaki-modelcolony-shivajinagar-pune-470663,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757488967184-719e10b6efff3546.jpg
Dinmanee ,UNDER_CONSTRUCTION,3BHK,1065.0,25400000,2.0,3,UNFURNISHED,Bharat English School & jr. College,"Dinmanee, Squadron Leader Sureshchandra Bhagwat Rd, Model Colony, Shivajinagar, Pune, Maharashtra 411016",411016,luxury-dinmanee--modelcolony-shivajinagar-pune-878430,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757495874341-877b209a8dd708f2.jpg
Zoa Building - 2 Wing A,UNDER_CONSTRUCTION,1BHK,450.0,7499000,1.0,1,UNFURNISHED,Renuka mata mandir,"Sr.no.36 Zoa, keshav nagar,Neatr renuka mata Temple Mundhwa, pune 411036",411036,zoa-building-2-wing-a-keshavnagar-mundhwa-pune-757777,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757497751961-62a4a746ffb7d92a.jpeg
Zoa Building - 2 Wing A,UNDER_CONSTRUCTION,2BHK,850.0,14100000,2.0,2,UNFURNISHED,Renuka mata mandir,"Sr.no.36 Zoa, keshav nagar,Neatr renuka mata Temple Mundhwa, pune 411036",411036,zoa-building-2-wing-a-keshavnagar-mundhwa-pune-757777,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757497751962-8264b2f46aeac8b4.jpg
Leela by Empyrean Landmarks - Phase 1 & 2,UNDER_CONSTRUCTION,2BHK,774.0,13600000,1.0,2,UNFURNISHED,Shri Kshetra Kalbhairavnath Temple,"Survey no. 18-19, plot no. p7, river road, Thite Nagar, Kharadi, Pune, Maharashtra 411014",411014,leela-by-empyrean-landmar-thitenagar-kharadi-pune-887385,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757499882365-234e90325d589de6.jpg
Leela by Empyrean Landmarks - Phase 1 & 2,UNDER_CONSTRUCTION,3BHK,1044.0,13900000,2.0,3,UNFURNISHED,Shri Kshetra Kalbhairavnath Temple,"Survey no. 18-19, plot no. p7, river road, Thite Nagar, Kharadi, Pune, Maharashtra 411014",411014,leela-by-empyrean-landmar-thitenagar-kharadi-pune-887385,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757499882367-f956a3cf2e42cc2e.jpg
Midori Towers,UNDER_CONSTRUCTION,2BHK,912.0,66800000,1.0,2,UNFURNISHED,Sai nagar Rd,"Sai Nagar, Mamurdi, Dehu Road, Maharashtra 412101",412101,midori-towers-modelcolony-shivajinagar-pune-449745,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757502445782-c4d339912dac6059.jpg
Kedar Residency,READY_TO_MOVE,1BHK,497.0,30400000,1.0,1,FURNISHED, Maharashtra Cricket Association Stadium,"MP78+P45, St Tukaram Nagar, Mamurdi, Dehu Road, Maharashtra 412101",412101,kedar-residency-modelcolony-shivajinagar-pune-678656,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757505674362-a03f1a776276e18c.jpg
Kedar Residency,READY_TO_MOVE,2BHK,805.0,49000000,0.0,0,UNFURNISHED, Maharashtra Cricket Association Stadium,"MP78+P45, St Tukaram Nagar, Mamurdi, Dehu Road, Maharashtra 412101",412101,kedar-residency-modelcolony-shivajinagar-pune-678656,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757505674380-a846f28fd0ac4508.jpg
Sonai Clara,UNDER_CONSTRUCTION,2BHK,719.0,7916000,1.0,2,UNFURNISHED,Chandraprabha corner,"BRT Link Rd, Ravet, Pimpri-Chinchwad, Maharashtra 412101",412099,sonai-clara-brtlinkrd-ravet-pune-029297,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757507025374-12d089344fa03c16.jpg
